In what country do you currently live?,What is your age?,income,"If you live in the US, what is your 5-digit zipcode?",us_currency
Mexico,22,0,NA,0
Argentina,39,1000000,NA,15149.2
Mexico,49,100000,NA,4200
Venezuela,36,450,NA,45.06
Mexico,34,288000,NA,12096
Mexico,23,0,NA,0
Costa Rica,36,2000000,NA,3511.02
Mexico,40,240000,NA,10080
Spain,35,60000,NA,65400
Mexico,40,41600,NA,1747.2
Colombia,23,2500000,NA,617.62
Mexico,32,45000,NA,1890
Unnited States,32,50000,40507,50000
Mexico,24,12000,NA,504
Mexico,50,240000,NA,10080
Spain,28,9000,NA,9810
Mexico,39,18000,NA,756
Mexico,35,200000,NA,8400
Mexico,50,120,NA,5.04
Mexico,22,156000,NA,6552
France,31,14400,NA,15696
Mexico,22,0,NA,0
Mexico,23,0,NA,0
Mexico,54,40000,NA,1680
Mexico,58,200000,NA,8400
Mexico,21,0,NA,0
Mexico,45,450000,NA,18900
Mexico,23,140000,NA,5880
Paraguay,36,60000000,NA,9267.72
Mexico,53,16000,NA,672
Mexico,30,3000,NA,126
Mexico,37,150000,NA,6300
Mexico,33,50000,56226,2100
Spain,39,21000,NA,22890
Mexico,47,300000,NA,12600
Mexico,49,250000,NA,10500
Mexico,45,350000,NA,14700
Mexico,35,150000,NA,6300
Mexico,42,75000,NA,3150
Mexico,38,240000,NA,10080
Mexico,33,650000,NA,27300
Mexico,43,40000,NA,1680
Mexico,45,450000,NA,18900
Mexico,25,66000,NA,2772
Argentina,55,200,NA,3.03
Mexico,25,60000,NA,2520
Mexico,25,2000,NA,84
Mexico,26,72000,NA,3024
Mexico,30,150000,NA,6300
Colombia,46,90000000,NA,22234.32
Mexico,22,7000,NA,294
Mexico,36,15900,NA,667.8
Mexico,32,10000,NA,420
Mexico,29,14000,NA,588
Brazil,27,180000,NA,33850.8
Mexico,30,62800,NA,2637.6
Mexico,30,13000,NA,546
Mexico,35,100000,NA,4200
Mexico,47,15000,NA,630
Mexico,29,10000,NA,420
Mexico,27,14000,NA,588
Mexico,60,11500,NA,483
Mexico,40,80000,NA,3360
Mexico,28,15800,NA,663.6
Mexico,28,15800,NA,663.6
Colombia,24,30000000,NA,7411.44
Mexico,30,34000,NA,1428
Mexico,19,2490,NA,104.58
Mexico,19,0,NA,0
Mexico,19,0,NA,0
Mexico,25,240000,NA,10080
Mexico,40,480000,NA,20160
Mexico,31,72000,NA,3024
Mexico,34,300000,NA,12600
Mexico,20,0,NA,0
Mexico,37,10000,NA,420
Mexico,23,0,NA,0
Mexico,38,32000,NA,1344
Mexico,40,15000,NA,630
Colombia,24,900000,NA,222.34
Mexico,58,200000,NA,8400
Mexico,36,26000,NA,1092
Mexico,47,10,NA,0.42
Mexico,25,10000,NA,420
Mexico,42,60000,NA,2520
Mexico,22,100000,NA,4200
Mexico,20,100000,NA,4200
Mexico,66,800000,72000,33600
Germany,35,42000,NA,45780
Mexico,54,360000,NA,15120
Mexico,52,100000,NA,4200
Mexico,32,200000,NA,8400
Mexico,50,36000,NA,1512
Mexico,43,100,NA,4.2
Mexico,44,120000,NA,5040
Mexico,14,200,NA,8.4
Mexico,25,32000,NA,1344
Mexico,23,6000,NA,252
Mexico,32,3000,72330,126
Mexico,43,10000,NA,420
Mexico,31,50000,NA,2100
Mexico,31,200000,NA,8400
Uruguay,43,240000,NA,5527.56
Uruguay,43,240000,NA,5527.56
Mexico,20,2000,NA,84
Mexico,43,80000,NA,3360
Mexico,20,1728000,NA,72576
Mexico,20,2400000,NA,100800
Mexico,22,210000,NA,8820
Mexico,20,90000,NA,3780
Mexico,20,300000,NA,12600
Mexico,22,6000,250000,252
Mexico,22,300000,NA,12600
Mexico,21,120000,NA,5040
Mexico,22,25500,NA,1071
Mexico,22,1500000,NA,63000
Mexico,33,100000,NA,4200
Mexico,26,132000,NA,5544
Mexico,23,50000,NA,2100
Mexico,23,8000,NA,336
Mexico,24,70000,NA,2940
Mexico,21,100000,NA,4200
Mexico,21,100000,NA,4200
Mexico,24,40000,NA,1680
Mexico,22,8000,NA,336
Mexico,31,135000,NA,5670
Mexico,20,0,NA,0
Mexico,21,35000,NA,1470
Mexico,21,25000,NA,1050
Mexico,22,250000,NA,10500
Mexico,22,360000,NA,15120
Unnited States,36,100000,78254,100000
Mexico,38,240000,NA,10080
Unnited States,19,10000,20853,10000
Unnited States,20,2000,47408,2000
Unnited States,25,10000,5403,10000
Unnited States,25,3000,92683,3000
Unnited States,35,50000,47405,50000
Unnited States,42,55000,78249,55000
Unnited States,32,60000,47408,60000
Unnited States,26,24000,47401,24000
Unnited States,29,28000,47404,28000
Unnited States,27,26000,47408,26000
Unnited States,34,16000,47401,16000
Unnited States,28,24000,47401,24000
Unnited States,56,120000,46077,120000
Unnited States,56,30000,47401,30000
Unnited States,28,26000,47403,26000
Unnited States,26,32000,5495,32000
Unnited States,23,40000,92617,40000
Unnited States,51,0,47401,0
Unnited States,69,100000,47401,100000
Unnited States,25,70000,10016,70000
Russia,21,60,NA,0.78
Unnited States,36,75000,47401,75000
Russia,20,25000,NA,325
Unnited States,51,42000,47403,42000
Unnited States,33,150000,47401,150000
Russia,19,0,NA,0
Russia,20,50000,NA,650
Unnited States,44,55000,47403,55000
Unnited States,19,27000,5452,27000
Russia,21,150000,NA,1950
Russia,20,0,NA,0
Unnited States,29,21500,47408,21500
Unnited States,60,100000,47401,100000
Unnited States,24,30000,47401,30000
Unnited States,26,21000,47401,21000
Unnited States,26,37000,5401,37000
Unnited States,31,58000,47401,58000
Unnited States,27,23000,47404,23000
Russia,21,300000,NA,3900
Russia,21,0,NA,0
Unnited States,20,0,85044,0
Russia,20,92000,NA,1196
Unnited States,23,32000,5495,32000
Unnited States,45,52000,47401,52000
Unnited States,31,40000,47401,40000
Unnited States,33,50000,47403,50000
Unnited States,27,27000,47403,27000
Unnited States,32,21000,47408,21000
Russia,19,0,NA,0
Unnited States,32,30000,5403,30000
Russia,19,216000,NA,2808
Unnited States,70,150000,27932,150000
Unnited States,27,75000,46254,75000
Unnited States,38,56680,47401,56680
Unnited States,20,15000,66720,15000
Unnited States,25,25000,5401,25000
Unnited States,27,20000,NA,20000
Russia,20,180000,NA,2340
Unnited States,34,20000,47403,20000
Unnited States,31,20000,47404,20000
Unnited States,50,75000,92683,75000
Unnited States,48,130000,1760,130000
Unnited States,42,200000,47401,200000
Unnited States,29,49000,48823,49000
Russia,20,45000,NA,585
Unnited States,23,35000,2532,35000
Russia,21,0,NA,0
Unnited States,38,100000,20910,100000
Unnited States,42,32000,80202,32000
Hungary,28,2500000,NA,7750
