id,question,value,section,type,subtype,self_or_others,q_condensed,q_word,q_id
1,I believe people will return to using hand shakes and/or other physical greetings.,4,Survey,Social-Cultural,Hygiene,1,Hand Shakes (O),Hand Shakes ,1
1,I will return to using hand shakes and/or other physical greetings.,3,Survey,Social-Cultural,Hygiene,2,Hand Shakes (I),Hand Shakes ,1
1,"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",2,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious ,2
1,"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I will be more climate conscious.",4,Survey,Policy,Climate,2,Climate Conscious (I),Climate Conscious ,2
1,"I believe people will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",2,Survey,Cultural,Well-being,1,Digital Habits (O),Digital Habits ,3
1,"I will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",2,Survey,Cultural,Well-being,2,Digital Habits (I),Digital Habits ,3
1,"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",3,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds ,4
1,"I will avoid crowded areas more (e.g. concerts, theme parks).",3,Survey,Social-Cultural,Lifestyle,2,Avoid Crowds (I),Avoid Crowds ,4
1,"I believe people will use public transportation less, if possible.",1,Survey,Social-Cultural,Transportation,1,Public Transport (O),Public Transport ,5
1,"I will use public transportation less, if possible.",2,Survey,Social-Cultural,Transportation,2,Public Transport (I),Public Transport ,5
1,"I believe people will save money more, rather than spend it.",3,Survey,Social-Cultural,Lifestyle,1,Save Money (O),Save Money ,6
1,"I will save money more, rather than spend it.",3,Survey,Social-Cultural,Lifestyle,2,Save Money (I),Save Money ,6
1,I believe people will think more before making impulsive purchases.,1,Survey,Social-Cultural,Lifestyle,1,Impulse Buy (O),Impulse Buy ,7
1,I will think more before making impulsive purchases.,4,Survey,Social-Cultural,Lifestyle,2,Impulse Buy (I),Impulse Buy ,7
1,I believe people will work harder to foster family and/or community ties.,2,Survey,Cultural,Well-being,1,Fam/Comm Ties (O),Fam/Comm Ties ,8
1,I will work harder to foster family and/or community ties.,4,Survey,Cultural,Well-being,2,Fam/Comm Ties (I),Fam/Comm Ties ,8
1,I believe people will seek out more evidence-based information.,4,Survey,Policy,Science,1,Evidence-Based Info (O),Evidence-Based Info ,9
1,I will seek out more evidence-based information.,5,Survey,Policy,Science,2,Evidence-Based Info (I),Evidence-Based Info ,9
1,"I believe people will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",2,Survey,Cultural,Well-being,1,Independent (O),Independent ,10
1,"I will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",3,Survey,Cultural,Well-being,2,Independent (I),Independent ,10
1,"I believe people will work more remotely, if possible.",4,Survey,Social-Cultural,Work,1,Work Remotely (O),Work Remotely ,11
1,"I will work more remotely, if possible.",3,Survey,Social-Cultural,Work,2,Work Remotely (I),Work Remotely ,11
1,"I believe people will use digital commerce, companies, and platforms ____.",4,Survey,Social-Cultural,Lifestyle,1,Digital Commerce (O),Digital Commerce ,12
1,"I will use digital commerce, companies, and platforms ____.",3,Survey,Social-Cultural,Lifestyle,2,Digital Commerce (I),Digital Commerce ,12
1,I believe people will use technology ____.,3,Survey,Social-Cultural,Work,1,Technology Use (O),Technology Use ,13
1,I will use technology ____.,3,Survey,Social-Cultural,Work,2,Technology Use (I),Technology Use ,13
1,"I believe people will be more politically liberal (e.g. vote for universal healthcare, more government aid).",4,Survey,Political,-,1,Liberal (O),Liberal ,14
1,"I will be more politically liberal (e.g. vote for universal healthcare, more government aid).",3,Survey,Political,-,2,Liberal (I),Liberal ,14
1,"I believe people will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",2,Survey,Political,-,1,Conservative (O),Conservative ,15
1,"I will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",3,Survey,Political,-,2,Conservative (I),Conservative ,15
