question,value,n,q_id,id,section,type,subtype,self_or_others,q_condensed,q_word
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",1,60,2,1,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious 
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",2,82,2,1,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious 
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",3,29,2,1,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious 
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",4,89,2,1,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious 
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",5,18,2,1,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious 
"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",1,82,4,2,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds 
"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",2,63,4,2,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds 
"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",3,34,4,2,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds 
"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",4,76,4,2,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds 
"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",5,23,4,2,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds 
I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,1,3,17,3,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware 
I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,2,13,17,3,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware 
I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,3,91,17,3,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware 
I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,4,141,17,3,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware 
I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,5,30,17,3,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware 
I believe people will be ____ trustful of medical professionals.,1,2,24,4,Survey,Policy,Health,1,Trust Doctors (O),Trust Doctors 
I believe people will be ____ trustful of medical professionals.,2,22,24,4,Survey,Policy,Health,1,Trust Doctors (O),Trust Doctors 
I believe people will be ____ trustful of medical professionals.,3,90,24,4,Survey,Policy,Health,1,Trust Doctors (O),Trust Doctors 
I believe people will be ____ trustful of medical professionals.,4,131,24,4,Survey,Policy,Health,1,Trust Doctors (O),Trust Doctors 
