question,value,n,q_id,id,section,type,subtype,self_or_others,q_condensed,q_word,per
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",1,60,2,1,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious ,21.58
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",2,82,2,1,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious ,29.5
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",3,29,2,1,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious ,10.43
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",4,89,2,1,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious ,32.01
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",5,18,2,1,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious ,6.47
"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",1,82,4,2,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds ,29.5
"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",2,63,4,2,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds ,22.66
"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",3,34,4,2,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds ,12.23
"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",4,76,4,2,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds ,27.34
"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",5,23,4,2,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds ,8.27
I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,1,3,17,3,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware ,1.08
I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,2,13,17,3,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware ,4.68
I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,3,91,17,3,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware ,32.73
I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,4,141,17,3,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware ,50.72
I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,5,30,17,3,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware ,10.79
I believe people will be ____ trustful of medical professionals.,1,2,24,4,Survey,Policy,Health,1,Trust Doctors (O),Trust Doctors ,0.72
I believe people will be ____ trustful of medical professionals.,2,22,24,4,Survey,Policy,Health,1,Trust Doctors (O),Trust Doctors ,7.91
I believe people will be ____ trustful of medical professionals.,3,90,24,4,Survey,Policy,Health,1,Trust Doctors (O),Trust Doctors ,32.37
I believe people will be ____ trustful of medical professionals.,4,131,24,4,Survey,Policy,Health,1,Trust Doctors (O),Trust Doctors ,47.12
I believe people will be ____ trustful of medical professionals.,5,33,24,4,Survey,Policy,Health,1,Trust Doctors (O),Trust Doctors ,11.87
"I believe people will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",1,31,10,5,Survey,Cultural,Well-being,1,Independent (O),Independent ,11.15
"I believe people will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",2,53,10,5,Survey,Cultural,Well-being,1,Independent (O),Independent ,19.06
"I believe people will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",3,56,10,5,Survey,Cultural,Well-being,1,Independent (O),Independent ,20.14
"I believe people will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",4,101,10,5,Survey,Cultural,Well-being,1,Independent (O),Independent ,36.33
"I believe people will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",5,37,10,5,Survey,Cultural,Well-being,1,Independent (O),Independent ,13.31
"I believe people will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",1,65,15,6,Survey,Political,-,1,Conservative (O),Conservative ,23.38
"I believe people will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",2,89,15,6,Survey,Political,-,1,Conservative (O),Conservative ,32.01
"I believe people will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",3,74,15,6,Survey,Political,-,1,Conservative (O),Conservative ,26.62
"I believe people will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",4,20,15,6,Survey,Political,-,1,Conservative (O),Conservative ,7.19
"I believe people will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",5,17,15,6,Survey,Political,-,1,Conservative (O),Conservative ,6.12
"I believe people will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",NA,13,15,6,Survey,Political,-,1,Conservative (O),Conservative ,4.68
"I believe people will be more politically liberal (e.g. vote for universal healthcare, more government aid).",1,30,14,7,Survey,Political,-,1,Liberal (O),Liberal ,10.79
"I believe people will be more politically liberal (e.g. vote for universal healthcare, more government aid).",2,35,14,7,Survey,Political,-,1,Liberal (O),Liberal ,12.59
"I believe people will be more politically liberal (e.g. vote for universal healthcare, more government aid).",3,55,14,7,Survey,Political,-,1,Liberal (O),Liberal ,19.78
"I believe people will be more politically liberal (e.g. vote for universal healthcare, more government aid).",4,95,14,7,Survey,Political,-,1,Liberal (O),Liberal ,34.17
"I believe people will be more politically liberal (e.g. vote for universal healthcare, more government aid).",5,53,14,7,Survey,Political,-,1,Liberal (O),Liberal ,19.06
"I believe people will be more politically liberal (e.g. vote for universal healthcare, more government aid).",NA,10,14,7,Survey,Political,-,1,Liberal (O),Liberal ,3.6
I believe people will carry masks and/or hand sanitizer around with them as a precaution.,1,17,16,8,Survey,Social-Cultural,Hygiene,1,Carry Masks (O),Carry Masks ,6.12
I believe people will carry masks and/or hand sanitizer around with them as a precaution.,2,26,16,8,Survey,Social-Cultural,Hygiene,1,Carry Masks (O),Carry Masks ,9.35
