Timestamp,In what country do you currently live?,What is your age?,What is your gender?,What is your race or ethnicity? (Select all that apply.),What is the highest level of education you have completed?,What is your marital status?,What is your current employment status?,What is your annual income level? (in the currency of your country).,"If you live in the US, what is your 5-digit zipcode?",I believe people will return to using hand shakes and/or other physical greetings.,I will return to using hand shakes and/or other physical greetings.,"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.","Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I will be more climate conscious.","I believe people will practice healthier digital habits (e.g. screen time limits, responsible online discourse).","I will practice healthier digital habits (e.g. screen time limits, responsible online discourse).","I believe people will avoid crowded areas more (e.g. concerts, theme parks).","I will avoid crowded areas more (e.g. concerts, theme parks).","I believe people will use public transportation less, if possible.","I will use public transportation less, if possible.","I believe people will save money more, rather than spend it.","I will save money more, rather than spend it.",I believe people will think more before making impulsive purchases.,I will think more before making impulsive purchases.,I believe people will work harder to foster family and/or community ties.,I will work harder to foster family and/or community ties.,I believe people will seek out more evidence-based information.,I will seek out more evidence-based information.,"I believe people will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).","I will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).","I believe people will work more remotely, if possible.","I will work more remotely, if possible.","I believe people will use digital commerce, companies, and platforms ____.","I will use digital commerce, companies, and platforms ____.",I believe people will use technology ____.,I will use technology ____.,"I believe people will be more politically liberal (e.g. vote for universal healthcare, more government aid).","I will be more politically liberal (e.g. vote for universal healthcare, more government aid).","I believe people will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).","I will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",I believe people will carry masks and/or hand sanitizer around with them as a precaution.,I will carry a mask and/or hand sanitizer around with me as a precaution.,I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,I will be ____ globally aware (e.g. feel the importance of global connections and cooperation). ,I believe people will value classroom education ____.,I will value classroom education ____.,I believe people will pursue relationships or intimate interactions online or via technology ____.,I will pursue relationships or intimate interactions online or via technology ____.,I believe people will travel ____.,I will travel ____.,I believe people will touch their faces ____.,I will touch my face ____.,"I believe people will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).","I will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).","I believe people will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).","I will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",I believe people will be ____ trustful of medical professionals.,I will be ____ trustful of medical professionals.,I believe people will have ____ trust in vaccines.,I will have ____ trust in vaccines.,"I believe people will do ____ to maintain their personal wellness (e.g. eat healthfully, exercise, practice work-life balance).","I will do ____ to maintain my personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",I believe people will practice ____ hygiene during annual flu seasons.,I will practice ______ hygiene during annual flu seasons.,I believe people will have ____ trust in their government.,I will have ____ trust in my government.,I see myself as introverted or reserved.,I see myself as extroverted or outgoing.,The COVID-19 pandemic has greatly affected my daily life.,The COVID-19 pandemic has greatly affected those closest to me (can include friends and family).,"(Optional) If you would like, please share how the COVID-19 pandemic has personally affected you.",(Optional) What's the first thing you will do once quarantine is fully lifted and there is no risk of another wave of infection?
2020/04/16 4:06:17 PM EST,Mexico,22,Male,"Hispanic/Latino, Mixed Race",Associate's Degree,"Single, never married",Student,0,,4,3,2,4,2,2,3,3,1,2,3,3,1,4,2,4,4,5,2,3,4,3,4,3,3,3,4,3,2,3,3,2,4,5,3,3,3,2,3,2,2,2,4,4,3,3,3,3,3,3,3,4,4,5,2,3,4,4,3,3,,
2020/04/16 4:08:56 PM EST,Argentina,39,Male,Hispanic/Latino,"Professional Degree (for example: MD, DDS, JD)","Single, never married",Full-time eployment,1000000,,2,2,3,5,1,1,4,4,4,4,1,2,1,5,5,5,1,1,2,2,5,5,4,4,4,4,4,3,3,3,4,4,4,4,2,2,3,5,1,5,3,3,2,2,3,3,2,2,2,2,3,4,3,4,3,3,3,3,4,5,,
2020/04/16 4:12:09 PM EST,Mexico,49,Male,Hispanic/Latino,Bachelor's Degree,Married,Full-time eployment,100000,,1,1,2,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1,5,1,5,3,4,3,4,1,2,1,4,1,3,3,2,3,4,3,2,3,3,3,4,3,4,3,3,3,4,3,4,3,4,3,2,3,5,2,3,1,,
2020/04/16 4:27:37 PM EST,Venezuela,36,Male,Caucasian,"Professional Degree (for example: MD, DDS, JD)","Single, never married",Self-employed,450,,4,4,3,5,2,3,4,3,1,2,3,2,5,5,3,3,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,4,4,5,3,4,4,2,2,3,3,4,3,5,5,3,4,5,3,3,5,3,5,1,1,3,4,4,5,"La capacidsd de generar trabajo como emprendedor , es difícil conectar y llevar un timeline de los proyectos ",Ir a la playa 
2020/04/16 4:30:57 PM EST,Mexico,34,Male,Hispanic/Latino,Doctorate degree,"Single, never married",Full-time eployment,288000,,5,5,2,5,1,1,4,3,2,5,5,4,4,4,5,2,4,5,4,4,5,5,5,3,4,3,5,4,1,1,4,2,4,5,2,1,4,3,3,3,3,3,4,5,5,4,3,3,5,3,5,3,3,4,1,2,4,4,1,3,,Simplemente pasar más tiempo fuera de casa.
2020/04/16 4:34:18 PM EST,Mexico,23,Female,Hispanic/Latino,Bachelor's Degree,"Single, never married",Student,0,,5,3,1,4,1,2,5,5,1,4,4,4,1,5,1,2,1,5,4,4,5,5,4,4,5,5,3,3,3,3,4,4,3,4,3,2,4,4,2,1,2,3,4,5,5,5,4,4,3,3,5,5,4,5,2,1,5,2,5,5,,Buscar trabajo
2020/04/16 4:58:04 PM EST,Costa Rica,36,Male,Hispanic/Latino,Master's Degree,Divorced,Full-time eployment,2000000,,2,4,4,4,2,5,2,2,1,1,1,2,1,2,4,4,3,5,2,5,5,5,4,4,4,4,4,4,,,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,5,,Compartir con familia y amigos
2020/04/16 5:04:45 PM EST,Mexico,40,Male,Hispanic/Latino,Bachelor's Degree,"Single, but cohabiting with a significant other",Full-time eployment,240000,,5,5,1,5,1,3,1,1,1,1,1,3,1,3,1,3,1,5,1,5,1,3,3,3,4,3,1,3,1,1,4,1,3,3,3,3,3,3,3,3,3,3,2,3,1,3,2,1,3,3,2,3,3,3,2,1,4,2,4,5,,
2020/04/16 5:12:24 PM EST,Spain,35,Male,Hispanic/Latino,Bachelor's Degree,In a domestic partnership or civil union,Full-time eployment,60000,,3,3,2,4,2,4,3,3,2,2,1,3,2,3,2,3,1,4,1,1,3,3,4,3,3,3,2,2,2,3,3,3,3,4,3,3,3,3,3,3,2,2,3,4,4,4,3,3,4,3,3,3,4,4,2,2,1,5,2,2,,
2020/04/16 5:28:44 PM EST,Mexico,40,Male,Hispanic/Latino,High School or equivalent (GED),In a domestic partnership or civil union,Self-employed,41600,,5,5,1,1,1,2,1,4,1,5,4,3,2,3,2,1,4,5,1,5,4,1,4,4,5,5,3,2,4,4,4,1,3,3,4,4,3,3,3,3,3,3,3,3,4,1,3,3,3,3,3,3,3,3,3,3,5,1,5,5,no tengo ingresos económicos,
